NAME;URL;DATE;ABI;GRAMMAR_JSON;EXTERNAL_SCANNER;DOWNLOAD
hoon;https://github.com/urbit-pilled/tree-sitter-hoon;2024-12-17;14;true;true;false
html;https://github.com/tree-sitter/tree-sitter-html;2025-01-30;14;true;true;false
html;https://github.com/EmranMR/tree-sitter-blade;2025-07-11;15;true;true;true
htmldjango;https://github.com/interdependence/tree-sitter-htmldjango;2025-04-16;15;true;false;false
http;https://github.com/PasiSalenius/tree-sitter-http;2022-07-27;13;true;false;maybe
http;https://github.com/rest-nvim/tree-sitter-http;2025-03-28;14;true;false;false
hurl;https://github.com/pfeiferj/tree-sitter-hurl;2024-09-14;14;true;false;false
hyprlang;https://github.com/tree-sitter-grammars/tree-sitter-hyprlang;2025-06-03;15;true;false;false
ibmhlasm;https://github.com/janus-llm/tree-sitter-ibmhlasm;2024-03-21;14;true;true;false
idl;https://github.com/cathaysia/tree-sitter-idl;2025-07-22;15;true;false;false
idris;https://github.com/kayhide/tree-sitter-idris;2024-11-05;14;true;true;false
idris2;https://github.com/gwerbin/tree-sitter-idris2;2022-04-14;13;true;false;false
iex;https://github.com/elixir-lang/tree-sitter-iex;2022-01-08;13;true;false;false
ini;https://github.com/justinmk/tree-sitter-ini;2025-06-03;14;true;false;false
inko;https://github.com/inko-lang/tree-sitter-inko;2025-02-21;14;true;false;false
ispc;https://github.com/tree-sitter-grammars/tree-sitter-ispc;2023-08-14;14;true;false;false
jack;https://github.com/nverno/tree-sitter-jack;2024-10-03;14;true;false;false
jakt;https://github.com/demizer/tree-sitter-jakt;2025-03-04;14;true;true;false
janet;https://github.com/GrayJack/tree-sitter-janet;2021-07-19;13;true;true;false
janet_simple;https://github.com/sogaiu/tree-sitter-janet-simple;2025-05-19;14;true;true;false
java;https://github.com/tree-sitter/tree-sitter-java;2025-01-30;14;true;false;false
javadoc;https://github.com/rmuir/tree-sitter-javadoc;2025-07-22;15;true;true;false
javascript;https://github.com/tree-sitter/tree-sitter-javascript;2025-01-30;14;true;true;true
jinja2;https://github.com/dbt-labs/tree-sitter-jinja2;2025-02-12;14;true;false;false
jpp;https://github.com/nitreojs/tree-sitter-jpp;2022-11-19;14;true;false;false
